AccerlerometerX,AccerlerometerY,AccerlerometerZ,UtcTicks
0.2117,-0.9600,-0.1833,635740559762611026
0.2117,-0.9600,-0.1833,635740559762815253
0.1953,-0.9634,-0.1835,635740559763009798
0.1378,-0.9776,-0.1593,635740559763214076
0.1378,-0.9776,-0.1593,635740559763408407
0.1378,-0.9776,-0.1593,635740559763612507
0.1378,-0.9776,-0.1593,635740559763819411
0.1378,-0.9776,-0.1593,635740559764013717
0.0963,-0.9873,-0.1264,635740559764207841
0.0713,-0.9923,-0.1014,635740559764415866
0.0713,-0.9923,-0.1014,635740559764610000
0.0630,-0.9962,-0.0595,635740559764818948
0.0630,-0.9962,-0.0595,635740559765013104
0.0210,-0.9998,-0.0007,635740559765209449
-0.0042,-0.9991,0.0413,635740559765413894
-0.0042,-0.9991,0.0413,635740559765608011
-0.0042,-0.9988,0.0498,635740559765809388
-0.0126,-0.9971,0.0749,635740559766011818
-0.0126,-0.9971,0.0749,635740559766213530
-0.0294,-0.9945,0.1001,635740559766407727
-0.0294,-0.9927,0.1168,635740559766615925
-0.0294,-0.9927,0.1168,635740559766810065
-0.0544,-0.9872,0.1501,635740559767010494
-0.0544,-0.9872,0.1501,635740559767214602
-0.1043,-0.9743,0.1995,635740559767408778
-0.1535,-0.9586,0.2399,635740559767612660
-0.1535,-0.9586,0.2399,635740559767806874
-0.1859,-0.9465,0.2637,635740559768015059
-0.2265,-0.9378,0.2629,635740559768209219
-0.2265,-0.9378,0.2629,635740559768413487
-0.2346,-0.9359,0.2627,635740559768607742
-0.2346,-0.9359,0.2627,635740559768813424
-0.2346,-0.9359,0.2627,635740559769007610
-0.2507,-0.9318,0.2624,635740559769211858
-0.2841,-0.9366,0.2052,635740559769416213
-0.2841,-0.9366,0.2052,635740559769610354
-0.3251,-0.9354,0.1392,635740559769815302
-0.3251,-0.9354,0.1392,635740559770009727
-0.3251,-0.9354,0.1392,635740559770213977
-0.3251,-0.9354,0.1392,635740559770408235
-0.3251,-0.9354,0.1392,635740559770612397
-0.3255,-0.9386,0.1147,635740559770821986
-0.3258,-0.9419,0.0818,635740559771043849
-0.3258,-0.9419,0.0818,635740559771208706
-0.3258,-0.9419,0.0818,635740559771413200
-0.3258,-0.9419,0.0818,635740559771607882
-0.3258,-0.9419,0.0818,635740559771812006
-0.3182,-0.9472,0.0406,635740559772016166
-0.3182,-0.9472,0.0406,635740559772208412
-0.3182,-0.9472,0.0406,635740559772412684
-0.3182,-0.9472,0.0406,635740559772616870
-0.3182,-0.9472,0.0406,635740559772810989
-0.3182,-0.9472,0.0406,635740559773015098
-0.3182,-0.9472,0.0406,635740559773208686
-0.3182,-0.9472,0.0406,635740559773412943
-0.3182,-0.9472,0.0406,635740559773613660
-0.3182,-0.9472,0.0406,635740559773807792
